A,n,Ea,T0,Tmin,Tmax,Pmin,Pmax,Library,comment,Type,efficiencies,reaction
1000000.0000000002,-1.0,0.0,1.0,,,,,NIST_Fluorine/seed,,ThirdBody,"{Molecule(smiles=""C""): 2.0, Molecule(smiles=""O=C(F)F""): 5.0, Molecule(smiles=""FC(F)F""): 6.0, Molecule(smiles=""O=C=O""): 0.0, Molecule(smiles=""F""): 2.0, Molecule(smiles=""CC""): 3.0, Molecule(smiles=""FC(F)(F)F""): 6.0, Molecule(smiles=""O""): 0.0, Molecule(smiles=""CF""): 6.0, Molecule(smiles=""[H][H]""): 0.0, Molecule(smiles=""FCF""): 6.0, Molecule(smiles=""[Ar]""): 0.63}",2 H + M <=> H2 + M
700000.0000000001,-1.0,0.0,1.0,77.0,5000.0,,,primaryH2O2,,ThirdBody,"{Molecule(smiles=""[Ar]""): 0.0, Molecule(smiles=""[He]""): 0.0, Molecule(smiles=""N#N""): 0.0, Molecule(smiles=""[H]""): 0.0, Molecule(smiles=""[H][H]""): 0.0, Molecule(smiles=""[O][O]""): 0.0, Molecule(smiles=""O""): 14.3}",2 H + M <=> H2 + M
700000.0000000001,-1.0,0.0,1.0,,,,,Nitrogen_Glarborg_Gimenez_et_al,,ThirdBody,"{Molecule(smiles=""[H][H]""): 0, Molecule(smiles=""O""): 0, Molecule(smiles=""N#N""): 0}",2 H + M <=> H2 + M
1780000.0000000002,-1.0,0.0,1.0,,,,,2-BTP/seed,,ThirdBody,"{Molecule(smiles=""O""): 0.0, Molecule(smiles=""O=C=O""): 0.0, Molecule(smiles=""[Ar]""): 0.63, Molecule(smiles=""[H][H]""): 0.0}",2 H + M <=> H2 + M
1870000.0000000002,-1.0,0.0,1.0,,,,,combustion_core/version5,,ThirdBody,"{Molecule(smiles=""C""): 3, Molecule(smiles=""O=C=O""): 1.5, Molecule(smiles=""CC""): 3, Molecule(smiles=""O""): 6.5, Molecule(smiles=""[H][H]""): 0, Molecule(smiles=""[O][O]""): 0.4, Molecule(smiles=""N#N""): 0.4, Molecule(smiles=""[C]=O""): 0.75, Molecule(smiles=""[Ar]""): 0.35}",2 H + M <=> H2 + M
