ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
2277.00,914.00,1.10,31341.94,208087.25,239429.20,978.63,42.98
687.00,951.00,1.10,1480.80,63293.01,64773.81,509.01,74.09
181.00,996.00,1.10,91.16,16845.64,16936.80,260.28,143.80
111.00,1036.00,1.10,34.28,5738.53,5772.81,151.96,136.90
87.00,1072.00,1.10,21.06,2336.59,2357.65,97.11,111.62
67.00,1125.00,1.10,12.49,693.03,705.52,53.12,79.29
55.00,1175.00,1.00,8.42,832.98,841.40,58.01,105.48
39.00,1187.00,1.00,4.42,657.26,661.69,51.45,131.91
29.00,1241.00,1.00,2.71,240.02,242.73,31.16,107.45
