ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
41.00,1383.00,11.20,4.82,415.56,420.38,41.01,100.02
45.00,1348.00,11.50,5.69,513.43,519.12,45.57,101.26
51.00,1316.00,11.90,7.24,530.18,537.42,46.36,90.91
70.00,1274.00,12.10,13.63,1049.83,1063.46,65.22,93.17
87.00,1239.00,12.20,21.06,2199.92,2220.98,94.25,108.34
131.00,1201.00,12.30,47.75,5312.07,5359.82,146.42,111.77
215.00,1163.00,12.30,128.62,16213.64,16342.26,255.67,118.92
400.00,1130.00,12.30,445.21,45529.23,45974.44,428.83,107.21
1034.00,1100.00,12.50,5202.93,89361.60,94564.53,615.03,59.48
1060.00,1098.00,12.70,5603.41,69997.42,75600.84,549.91,51.88
