ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
1538.00,977.00,2.30,14175.97,10268.34,24444.31,312.69,20.33
1005.00,1005.00,2.30,4772.01,3868.16,8640.16,185.90,18.50
780.00,1010.00,2.20,2152.42,2951.77,5104.19,142.89,18.32
453.00,1034.00,2.20,571.01,1317.34,1888.35,86.91,19.19
363.00,1039.00,2.10,366.66,1133.55,1500.21,77.47,21.34
191.00,1085.00,2.10,101.51,289.95,391.46,39.57,20.72
139.00,1114.00,2.10,53.76,144.00,197.76,28.13,20.23
114.00,1149.00,2.00,36.16,97.53,133.69,23.13,20.29
87.00,1167.00,2.00,21.06,71.76,92.83,19.27,22.15
77.00,1181.00,1.90,16.50,94.52,111.01,21.07,27.37
70.00,1230.00,1.90,13.63,44.95,58.58,15.31,21.87
55.00,1285.00,1.90,8.42,21.87,30.29,11.01,20.01
51.00,1304.00,1.70,7.24,43.35,50.58,14.22,27.89
