ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
108.00,2070.00,1.40,32.46,13098.97,13131.43,229.18,212.21
84.00,2160.00,1.49,19.63,5114.74,5134.37,143.31,170.61
78.00,2215.00,1.54,16.93,2883.23,2900.16,107.71,138.08
76.00,2215.00,1.54,16.07,2883.23,2899.30,107.69,141.70
58.00,2325.00,1.65,9.36,709.19,718.55,53.61,92.43
58.00,2375.00,1.70,9.36,347.74,357.10,37.79,65.16
45.00,2475.00,1.80,5.69,117.22,122.91,22.17,49.27
42.00,2565.00,1.88,5.03,147.67,152.70,24.71,58.84
35.00,2625.00,1.95,3.69,204.03,207.72,28.83,82.36
35.00,2700.00,2.02,3.69,279.94,283.63,33.68,96.24
27.00,2740.00,2.07,2.41,311.48,313.89,35.43,131.24
26.00,2820.00,2.13,2.27,378.99,381.25,39.05,150.20
24.00,2870.00,2.20,1.98,388.69,390.67,39.53,164.71
