ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
3123.00,916.00,1.88,58958.27,11434.17,70392.45,530.63,16.99
3166.00,920.00,1.88,60593.02,10031.60,70624.62,531.51,16.79
1652.00,959.00,1.89,16445.13,3114.76,19559.89,279.71,16.93
1205.00,968.00,1.81,8021.53,3452.79,11474.32,214.24,17.78
1390.00,968.00,1.96,11365.81,3344.58,14710.38,242.57,17.45
874.00,1005.00,1.91,3076.52,1124.53,4201.05,129.63,14.83
679.00,1037.00,1.91,1433.32,659.20,2092.52,91.49,13.47
523.00,1064.00,1.79,762.64,722.03,1484.67,77.06,14.73
390.00,1100.00,1.97,423.23,408.43,831.66,57.68,14.79
376.00,1118.00,1.82,393.39,317.82,711.20,53.34,14.19
253.00,1200.00,1.81,178.11,165.53,343.64,37.08,14.65
