ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
1307.00,960.00,1.20,9841.52,16589.65,26431.17,325.15,24.88
1067.00,964.00,1.20,5713.34,15188.11,20901.45,289.15,27.10
420.00,1012.00,1.20,490.84,5665.46,6156.30,156.92,37.36
289.00,1033.00,1.10,232.40,2044.08,2276.48,95.42,33.02
316.00,1041.00,1.10,277.86,1770.11,2047.97,90.51,28.64
274.00,1052.00,1.10,208.90,1459.80,1668.70,81.70,29.82
202.00,1087.00,1.10,113.54,820.31,933.85,61.12,30.26
154.00,1125.00,1.10,65.99,464.54,530.53,46.07,29.91
116.00,1157.00,1.10,37.44,299.61,337.06,36.72,31.65
101.00,1197.00,1.10,28.38,181.16,209.55,28.95,28.66
