ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
195.00,2050.00,1.23,105.81,127108.45,127214.26,713.34,365.82
165.00,2140.00,1.32,75.76,48233.89,48309.65,439.59,266.42
120.00,2250.00,1.41,40.07,14817.99,14858.06,243.79,203.16
105.00,2355.00,1.50,30.68,3926.37,3957.04,125.81,119.82
64.00,2560.00,1.69,11.40,8.43,19.82,8.90,13.91
57.00,2620.00,1.74,9.04,98.43,107.47,20.73,36.38
55.00,2675.00,1.80,8.42,313.79,322.21,35.90,65.27
44.00,2765.00,1.87,5.46,645.28,650.74,51.02,115.95
46.00,2810.00,1.91,5.92,814.41,820.34,57.28,124.53
