ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
49.00,1298.00,12.30,6.68,1626.89,1633.57,80.83,164.97
62.00,1238.00,12.30,10.70,6398.95,6409.64,160.12,258.26
88.00,1210.00,11.80,21.55,5549.75,5571.29,149.28,169.64
93.00,1181.00,12.20,24.07,22740.65,22764.72,301.76,324.47
173.00,1157.00,12.10,83.28,36778.59,36861.86,383.99,221.96
317.00,1147.00,12.70,279.62,127791.04,128070.66,715.74,225.79
949.00,1116.00,12.80,3993.29,364265.56,368258.85,1213.69,127.89
1787.00,1096.00,12.60,19287.66,484571.62,503859.28,1419.66,79.44
