ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
185.00,2070.00,1.40,95.23,34608.09,34703.32,372.58,201.39
143.00,2160.00,1.49,56.90,13308.33,13365.23,231.22,161.69
137.00,2215.00,1.54,52.23,7278.67,7330.90,171.24,124.99
130.00,2215.00,1.54,47.03,7278.67,7325.70,171.18,131.68
98.00,2325.00,1.65,26.72,1597.52,1624.25,80.60,82.25
100.00,2375.00,1.70,27.83,668.23,696.06,52.77,52.77
80.00,2475.00,1.80,17.81,121.78,139.59,23.63,29.54
75.00,2565.00,1.88,15.65,261.16,276.81,33.28,44.37
60.00,2625.00,1.95,10.02,477.91,487.93,44.18,73.63
63.00,2700.00,2.02,11.04,741.02,752.06,54.85,87.06
50.00,2740.00,2.07,6.96,881.21,888.17,59.60,119.21
48.00,2820.00,2.13,6.42,1094.78,1101.20,66.37,138.27
45.00,2870.00,2.20,5.69,1204.27,1209.96,69.57,154.60
