ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
4531.00,970.00,3.55,124104.90,2531.99,126636.88,711.72,15.71
3448.00,985.00,4.04,71867.96,823.79,72691.75,539.23,15.64
2861.00,993.00,3.99,49480.78,615.39,50096.17,447.64,15.65
2702.00,1002.00,4.12,44133.82,457.61,44591.43,422.33,15.63
1456.00,1007.00,3.78,12603.06,457.66,13060.72,228.57,15.70
1068.00,1021.00,3.91,5729.11,245.93,5975.05,154.60,14.48
805.00,1024.00,3.78,2373.33,265.03,2638.37,102.73,12.76
826.00,1027.00,4.06,2572.78,195.28,2768.06,105.22,12.74
684.00,1029.00,3.99,1462.82,183.02,1645.84,81.14,11.86
631.00,1031.00,3.72,1178.67,240.17,1418.84,75.33,11.94
333.00,1050.00,4.05,308.56,99.03,407.59,40.38,12.13
318.00,1058.00,3.99,281.38,79.68,361.06,38.00,11.95
311.00,1060.00,4.02,269.13,75.35,344.49,37.12,11.94
227.00,1084.00,4.00,143.38,41.98,185.36,27.23,12.00
192.00,1093.00,4.16,102.58,37.45,140.02,23.67,12.33
170.00,1103.00,4.27,80.42,34.79,115.20,21.47,12.63
109.00,1148.00,4.12,33.06,12.74,45.80,13.54,12.42
103.00,1167.00,3.75,29.52,11.68,41.20,12.84,12.46
79.00,1186.00,4.04,17.37,7.12,24.49,9.90,12.53
74.00,1192.00,3.79,15.24,7.68,22.91,9.57,12.94
89.00,1192.00,3.57,22.04,11.01,33.05,11.50,12.92
81.00,1201.00,3.74,18.26,7.26,25.52,10.10,12.47
78.00,1206.00,3.62,16.93,8.18,25.11,10.02,12.85
45.00,1281.00,4.31,5.69,2.66,8.35,5.78,12.84
31.00,1336.00,4.55,3.03,1.74,4.77,4.37,14.09
22.00,1418.00,4.77,1.71,0.90,2.62,3.23,14.70
