ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
54.00,1388.00,12.30,8.11,1426.07,1434.19,75.74,140.26
79.00,1317.00,11.80,17.37,1981.40,1998.76,89.42,113.18
96.00,1257.00,11.80,25.64,4619.71,4645.35,136.31,141.99
121.00,1217.00,12.20,40.74,13524.60,13565.34,232.94,192.51
230.00,1191.00,12.60,147.20,32287.86,32435.05,360.19,156.61
389.00,1161.00,13.00,421.06,83237.17,83658.23,578.47,148.71
1150.00,1117.00,12.90,7074.08,165619.60,172693.68,831.13,72.27
1722.00,1097.00,12.50,17895.99,156360.98,174256.96,834.88,48.48
