ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
1365.00,968.00,1.20,10903.05,1501.33,12404.38,222.75,16.32
1099.00,977.00,1.20,6226.21,1133.10,7359.31,171.57,15.61
856.00,979.00,1.20,2879.83,1065.56,3945.40,125.62,14.68
970.00,982.00,1.10,4276.53,519.60,4796.13,138.51,14.28
611.00,1010.00,1.20,1086.68,434.80,1521.48,78.01,12.77
399.00,1034.00,1.10,442.99,79.42,522.40,45.71,11.46
272.00,1050.00,1.10,205.87,49.10,254.96,31.94,11.74
282.00,1051.00,1.20,221.28,160.44,381.72,39.08,13.86
297.00,1057.00,1.10,245.45,40.85,286.30,33.84,11.39
229.00,1090.00,1.10,145.92,22.24,168.16,25.94,11.33
246.00,1108.00,1.10,168.39,18.67,187.06,27.35,11.12
222.00,1110.00,1.10,137.14,18.40,155.53,24.94,11.24
170.00,1126.00,1.10,80.42,16.72,97.14,19.71,11.60
146.00,1145.00,1.10,59.31,15.41,74.72,17.29,11.84
129.00,1176.00,1.00,46.30,31.49,77.80,17.64,13.67
99.00,1195.00,1.10,27.27,12.89,40.16,12.67,12.80
112.00,1206.00,1.00,34.90,23.81,58.71,15.32,13.68
82.00,1263.00,1.10,18.71,9.79,28.50,10.68,13.02
