ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
6271.00,1055.00,15.77,237724.75,817112.25,1054837.00,2054.11,32.76
5985.00,1058.00,16.23,216535.50,826472.97,1043008.47,2042.56,34.13
5671.00,1084.00,15.92,194410.67,290165.58,484576.25,1392.23,24.55
5092.00,1101.00,15.96,156739.19,161286.38,318025.57,1127.88,22.15
2251.00,1156.00,16.73,30630.24,34998.23,65628.48,512.36,22.76
1488.00,1174.00,16.80,13211.76,20836.77,34048.53,369.04,24.80
1320.00,1179.00,16.32,10077.96,14812.66,24890.62,315.54,23.90
929.00,1194.00,16.14,3733.97,8967.80,12701.77,225.40,24.26
451.00,1232.00,16.10,565.98,3057.10,3623.08,120.38,26.69
312.00,1247.00,15.47,270.87,1792.23,2063.10,90.84,29.12
203.00,1288.00,16.09,114.67,718.73,833.39,57.74,28.44
87.00,1359.00,16.58,21.06,165.88,186.94,27.35,31.43
77.00,1385.00,16.07,16.50,80.15,96.64,19.66,25.53
34.00,1470.00,15.47,3.52,13.91,17.43,8.35,24.56
