ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
3156.00,1023.00,9.88,60210.85,34371.27,94582.13,615.08,19.49
1891.00,1049.00,10.25,21610.37,18423.01,40033.38,400.17,21.16
788.00,1078.00,10.00,2221.17,6207.02,8428.19,183.61,23.30
583.00,1096.00,9.80,970.28,3292.42,4262.71,130.58,22.40
327.00,1128.00,9.72,297.54,1319.11,1616.65,80.42,24.59
217.00,1158.00,9.95,131.03,675.96,806.99,56.82,26.18
219.00,1162.00,9.55,133.45,535.38,668.84,51.72,23.62
185.00,1172.00,9.65,95.23,426.20,521.43,45.67,24.69
120.00,1220.00,10.25,40.07,201.19,241.26,31.06,25.89
93.00,1257.00,9.76,24.07,68.91,92.97,19.28,20.74
70.00,1308.00,9.75,13.63,26.40,40.03,12.65,18.08
