ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
53.00,1845.00,1.55,7.82,59.12,66.93,16.36,30.87
70.00,1722.00,1.52,13.63,102.86,116.50,21.59,30.84
77.00,1692.00,1.59,16.50,76.23,92.73,19.26,25.01
139.00,1540.00,1.57,53.76,150.80,204.56,28.61,20.58
205.00,1390.00,1.67,116.94,155.64,272.58,33.02,16.11
338.00,1264.00,1.73,317.89,458.14,776.03,55.71,16.48
449.00,1199.00,1.84,560.97,1786.12,2347.08,96.89,21.58
626.00,1146.00,1.94,1154.94,5867.64,7022.59,167.60,26.77
855.00,1074.00,1.94,2869.18,18749.74,21618.92,294.07,34.39
1461.00,1017.00,1.94,12697.77,54081.65,66779.42,516.83,35.38
