ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
4697.00,1024.00,17.24,133365.01,359930.41,493295.42,1404.70,29.91
3079.00,1035.00,20.36,57308.65,205041.07,262349.72,1024.40,33.27
2126.00,1039.00,19.96,27322.48,157414.73,184737.21,859.62,40.43
980.00,1097.00,20.30,4415.19,9858.07,14273.26,238.94,24.38
568.00,1127.00,20.15,913.38,2587.58,3500.96,118.34,20.83
366.00,1141.00,20.02,372.74,1416.25,1788.99,84.59,23.11
242.00,1153.00,20.21,162.96,890.99,1053.95,64.93,26.83
198.00,1156.00,19.59,109.09,738.61,847.70,58.23,29.41
97.00,1183.00,19.49,26.18,257.03,283.21,33.66,34.70
