ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
31.00,1442.00,12.20,3.03,21.50,24.53,9.91,31.95
39.00,1391.00,11.90,4.42,37.66,42.09,12.98,33.27
44.00,1333.00,12.10,5.46,100.16,105.62,20.55,46.72
60.00,1297.00,12.10,10.02,181.71,191.73,27.69,46.16
85.00,1258.00,12.00,20.10,346.04,366.14,38.27,45.02
144.00,1208.00,12.60,57.70,1254.88,1312.58,72.46,50.32
200.00,1184.00,12.60,111.30,2063.69,2174.99,93.27,46.64
232.00,1170.00,12.70,149.77,2974.79,3124.56,111.80,48.19
414.00,1137.00,12.60,476.92,5885.75,6362.67,159.53,38.53
654.00,1126.00,13.30,1294.43,12610.98,13905.41,235.84,36.06
1097.00,1106.00,12.60,6193.69,12466.61,18660.30,273.21,24.90
1397.00,1100.00,12.70,11495.94,15460.53,26956.47,328.37,23.51
1868.00,1092.00,12.60,21086.18,17795.03,38881.21,394.37,21.11
