ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
2935.00,900.00,0.90,52073.53,270402.80,322476.33,1135.74,38.70
1471.00,933.00,1.10,12887.62,24994.23,37881.85,389.27,26.46
600.00,948.00,1.10,1039.30,16319.37,17358.67,263.50,43.92
748.00,950.00,0.90,1895.32,61990.53,63885.86,505.51,67.58
193.00,1009.00,1.10,103.65,3304.43,3408.08,116.76,60.50
160.00,1024.00,1.10,71.23,2299.52,2370.75,97.38,60.86
153.00,1026.00,1.10,65.14,2192.80,2257.94,95.04,62.11
99.00,1071.00,1.10,27.27,789.90,817.17,57.17,57.75
93.00,1078.00,1.10,24.07,679.21,703.28,53.04,57.03
73.00,1113.00,1.10,14.83,328.78,343.60,37.07,50.79
47.00,1145.00,1.10,6.17,176.30,182.47,27.02,57.48
69.00,1154.00,1.00,13.25,286.32,299.57,34.62,50.17
57.00,1162.00,1.00,9.04,247.01,256.05,32.00,56.15
61.00,1169.00,1.00,10.35,217.44,227.80,30.19,49.49
