ignition_delay_time,T5_K,P5_atm,systematic,random,combined,final_expanded,expanded_relative
5027.00,1040.00,13.22,152763.14,569006.11,721769.25,1699.14,33.80
5783.00,1043.00,14.77,202165.56,1077240.14,1279405.70,2262.22,39.12
5250.00,1044.00,14.06,166617.04,726482.23,893099.27,1890.08,36.00
4618.00,1056.00,14.51,128916.54,560526.96,689443.50,1660.65,35.96
3129.00,1092.00,14.42,59185.04,136377.27,195562.30,884.45,28.27
1923.00,1117.00,14.02,22349.85,45852.20,68202.05,522.31,27.16
786.00,1148.00,13.97,2203.82,15632.09,17835.91,267.10,33.98
318.00,1195.00,14.42,281.38,4408.60,4689.99,136.97,43.07
237.00,1202.00,13.85,156.29,2693.04,2849.33,106.76,45.05
229.00,1212.00,14.25,145.92,2441.95,2587.87,101.74,44.43
146.00,1250.00,13.84,59.31,675.12,734.44,54.20,37.12
78.00,1324.00,15.09,16.93,184.99,201.92,28.42,36.44
64.00,1354.00,15.83,11.40,132.08,143.47,23.96,37.43
58.00,1359.00,15.64,9.36,106.93,116.29,21.57,37.18
36.00,1438.00,13.84,3.87,7.88,11.74,6.85,19.04
